Section,Question,Answer
Pick out the odd one,1. Heart 2. Legs 3. Brain 4. Kidney,2. Legs
Pick out the odd one,1. Eyes 2. Ears 3. Fingers 4. Lungs,4. Lungs
Pick out the odd one,1. Fore brain 2. Mid brain 3. Hind brain 4. Nerves,4. Nerves
True or False,Head hand and legs are internal organs.,False
True or False,Heart is made up of muscles.,True
True or False,Muscles are the soft parts that cover our bones.,True
True or False,Brush your teeth once a day.,False
True or False,Father patting you on your head is a good touch.,True
Choose the correct answer,_____ is the commanding centre of our body. (a) Heart (b) Lungs (c) Kidney (d) Brain,(d) Brain
Choose the correct answer,Food is converted to energy in the _____. (a) Neck (b) Heart (c) Stomach (d) Nose,(c) Stomach
Choose the correct answer,Every day we should brush our teeth _____ times. (a) One (b) Two (c) Three (d) Four,(b) Two
Choose the correct answer,Good touch is a fair and _____ touch. (a) Unhealthy (b) Bad (c) Unsafe (d) Healthy,(d) Healthy
Choose the correct answer,Drink a lot of _____ every day. (a) Oil (b) Water (c) Packed juice (d) Salt water,(b) Water
Short Answer,Name the internal organs.,Some body parts such as stomach lungs and heart that are inside our body these parts are called internal organs.
Short Answer,What are the functions of brain?,"Brain is the commanding centre of our body. It controls all activities of our body like moving our hands and legs sitting or walking. It helps us to think and perform various actions."
Short Answer,List out the food items for healthy mouth and teeth.,"Drink water or milk instead of sugar juices. Take plenty of fruits vegetables and dairy products. Eat candy cake and ice cream as less as possible."
Short Answer,How will you take care of your heart and kidney?,"For healthy Heart – Stay away from processed food. Choose fresh fruit and vegetable. For healthy Kidney – Drink plenty of fluid (water & Juice)."
Short Answer,What do you do when some one touches you and you feel uncomfortable?,"Say ""Don't touch"" in a loud voice. Leave the spot quickly. Tell elders like your parents or teachers till you get help."
Think and answer,When an unknown person disturbs you how do you behave? Write in your own words.,"I must never be afraid to shout and say Don't touch me. Must leave the spot quickly. Must tell elders like father or mother or teacher to get help."
Think and answer,Which organ controls thinking speaking and learning. Write its three important parts.,"The organ that controls thinking speaking and learning is 'Brain'. The three important parts of Brain are: 1. Fore brain 2. Mid brain 3. Hind brain"
